bits,seed,algorithm,n,success,runtime_seconds,iteration_count,gcd_calls,modular_multiplies
20,2,smt_convolution_b256,857393,True,0.034287,1,0,3
20,3,smt_convolution_raw,338099,True,0.015623,1,0,0
20,3,smt_convolution_b16,338099,True,0.027094,1,0,5
20,3,smt_convolution_b256,338099,True,0.018254,1,0,3
20,4,smt_convolution_raw,507791,True,0.023856,1,0,0
20,4,smt_convolution_b16,507791,True,0.020086,1,0,5
20,4,smt_convolution_b256,507791,True,0.022622,1,0,3
20,5,smt_convolution_raw,585161,True,0.026542,1,0,0
20,5,smt_convolution_b16,585161,True,0.030736,1,0,5
20,5,smt_convolution_b256,585161,True,0.026882,1,0,3
20,6,smt_convolution_raw,592283,True,0.030121,1,0,0
20,6,smt_convolution_b16,592283,True,0.019697,1,0,5
20,6,smt_convolution_b256,592283,True,0.029495,1,0,3
20,7,smt_convolution_raw,569977,True,0.029304,1,0,0
20,7,smt_convolution_b16,569977,True,0.018145,1,0,5
20,7,smt_convolution_b256,569977,True,0.03248,1,0,3
20,8,smt_convolution_raw,454469,True,0.020276,1,0,0
20,8,smt_convolution_b16,454469,True,0.015647,1,0,5
20,8,smt_convolution_b256,454469,True,0.015318,1,0,3
20,9,smt_convolution_raw,579211,True,0.024263,1,0,0
20,9,smt_convolution_b16,579211,True,0.026864,1,0,5
20,9,smt_convolution_b256,579211,True,0.017059,1,0,3
20,10,smt_convolution_raw,539569,True,0.021095,1,0,0
20,10,smt_convolution_b16,539569,True,0.027382,1,0,5
20,10,smt_convolution_b256,539569,True,0.027586,1,0,3
20,11,smt_convolution_raw,777899,True,0.022402,1,0,0
20,11,smt_convolution_b16,777899,True,0.016588,1,0,5
20,11,smt_convolution_b256,777899,True,0.018066,1,0,3
20,12,smt_convolution_raw,784639,True,0.034752,1,0,0
20,12,smt_convolution_b16,784639,True,0.020704,1,0,5
20,12,smt_convolution_b256,784639,True,0.019526,1,0,3
20,13,smt_convolution_raw,567109,True,0.02005,1,0,0
20,13,smt_convolution_b16,567109,True,0.024174,1,0,5
20,13,smt_convolution_b256,567109,True,0.030573,1,0,3
20,14,smt_convolution_raw,453689,True,0.015196,1,0,0
20,14,smt_convolution_b16,453689,True,0.026572,1,0,5
20,14,smt_convolution_b256,453689,True,0.019926,1,0,3
20,15,smt_convolution_raw,351979,True,0.014972,1,0,0
20,15,smt_convolution_b16,351979,True,0.019421,1,0,5
20,15,smt_convolution_b256,351979,True,0.025027,1,0,3
20,16,smt_convolution_raw,594259,True,0.022594,1,0,0
20,16,smt_convolution_b16,594259,True,0.026507,1,0,5
20,16,smt_convolution_b256,594259,True,0.016912,1,0,3
20,17,smt_convolution_raw,774899,True,0.021533,1,0,0
20,17,smt_convolution_b16,774899,True,0.020927,1,0,5
20,17,smt_convolution_b256,774899,True,0.029214,1,0,3
20,18,smt_convolution_raw,657367,True,0.017035,1,0,0
20,18,smt_convolution_b16,657367,True,0.025555,1,0,5
20,18,smt_convolution_b256,657367,True,0.025001,1,0,3
20,19,smt_convolution_raw,291311,True,0.021101,1,0,0
20,19,smt_convolution_b16,291311,True,0.021701,1,0,5
20,19,smt_convolution_b256,291311,True,0.019114,1,0,3
20,20,smt_convolution_raw,405617,True,0.022531,1,0,0
20,20,smt_convolution_b16,405617,True,0.022283,1,0,5
20,20,smt_convolution_b256,405617,True,0.018175,1,0,3
20,21,smt_convolution_raw,812083,True,0.02787,1,0,0
20,21,smt_convolution_b16,812083,True,0.034871,1,0,5
20,21,smt_convolution_b256,812083,True,0.032504,1,0,3
20,22,smt_convolution_raw,706969,True,0.027788,1,0,0
20,22,smt_convolution_b16,706969,True,0.039451,1,0,5
20,22,smt_convolution_b256,706969,True,0.021595,1,0,3
20,23,smt_convolution_raw,919537,True,0.025963,1,0,0
20,23,smt_convolution_b16,919537,True,0.036027,1,0,5
20,23,smt_convolution_b256,919537,True,0.033589,1,0,3
20,24,smt_convolution_raw,586697,True,0.029558,1,0,0
20,24,smt_convolution_b16,586697,True,0.023944,1,0,5
20,24,smt_convolution_b256,586697,True,0.014836,1,0,3
20,25,smt_convolution_raw,679181,True,0.027085,1,0,0
20,25,smt_convolution_b16,679181,True,0.046895,1,0,5
20,25,smt_convolution_b256,679181,True,0.029333,1,0,3
20,26,smt_convolution_raw,667951,True,0.026454,1,0,0
20,26,smt_convolution_b16,667951,True,0.016637,1,0,5
20,26,smt_convolution_b256,667951,True,0.029241,1,0,3
20,27,smt_convolution_raw,422053,True,0.024001,1,0,0
20,27,smt_convolution_b16,422053,True,0.021223,1,0,5
20,27,smt_convolution_b256,422053,True,0.02635,1,0,3
20,28,smt_convolution_raw,565423,True,0.018139,1,0,0
20,28,smt_convolution_b16,565423,True,0.021418,1,0,5
20,28,smt_convolution_b256,565423,True,0.022664,1,0,3
20,29,smt_convolution_raw,368413,True,0.025437,1,0,0
20,29,smt_convolution_b16,368413,True,0.023811,1,0,5
20,29,smt_convolution_b256,368413,True,0.024385,1,0,3
20,30,smt_convolution_raw,669043,True,0.025922,1,0,0
20,30,smt_convolution_b16,669043,True,0.023185,1,0,5
20,30,smt_convolution_b256,669043,True,0.024134,1,0,3
20,31,smt_convolution_raw,390457,True,0.035246,1,0,0
20,31,smt_convolution_b16,390457,True,0.026054,1,0,5
20,31,smt_convolution_b256,390457,True,0.023209,1,0,3
20,32,smt_convolution_raw,544003,True,0.017777,1,0,0
20,32,smt_convolution_b16,544003,True,0.020482,1,0,5
20,32,smt_convolution_b256,544003,True,0.029439,1,0,3
20,33,smt_convolution_raw,441901,True,0.026812,1,0,0
